character_name,character_speech
nora ,"['ak', 'jeg', 'vilde', 'ønske', 'jeg', 'havde', 'arvet', 'mange', 'af', 'pappas', 'egenskaber']"
helmer ,"['og', 'jeg', 'vilde', 'ikke', 'ønske', 'dig', 'anderledes', 'end', 'netop', 'således', 'som', 'du', 'er', 'min', 'søde', 'lille', 'sang', 'lærke', 'men', 'hør', 'der', 'falder', 'mig', 'noget', 'ind', 'du', 'ser', 'så', '–', 'så', '–', 'hvad', 'skal', 'jeg', 'kalde', 'det', '–', 'så', 'fordægtig', 'ud', 'idag', '–']"
nora ,"['gør', 'jeg']"
helmer ,"['ja', 'visst', 'gør', 'du', 'det', 'se', 'mig', 'stivt', 'i', 'øjnene']"
nora ,['nå']
helmer ,"['slikmunden', 'skulde', 'vel', 'aldrig', 'have', 'grasseret', 'i', 'byen', 'idag']"
nora ,"['nej', 'hvor', 'kan', 'du', 'nu', 'falde', 'på', 'det']"
helmer ,"['har', 'slikmunden', 'virkelig', 'ikke', 'gjort', 'en', 'af', 'stikker', 'ind', 'til', 'konditoren']"
nora ,"['nej', 'jeg', 'forsikrer', 'dig', 'torvald', '–']"
helmer ,"['ikke', 'nippet', 'lidt', 'syltetøj']"
nora ,"['nej', 'aldeles', 'ikke']"
helmer ,"['ikke', 'engang', 'gnavet', 'en', 'makron', 'eller', 'to']"
nora ,"['nej', 'torvald', 'jeg', 'forsikrer', 'dig', 'virkelig', '–']"
helmer ,"['nå', 'nå', 'nå', 'det', 'er', 'jo', 'naturligvis', 'bare', 'mit', 'spøg', '–']"
nora ,"['jeg', 'kunde', 'da', 'ikke', 'falde', 'på', 'at', 'gøre', 'dig', 'imod']"
helmer ,"['nej', 'jeg', 'ved', 'det', 'jo', 'nok', 'og', 'du', 'har', 'jo', 'givet', 'mig', 'dit', 'ord', '–', 'nå', 'behold', 'du', 'dine', 'små', 'julehemmeligheder', 'for', 'dig', 'selv', 'min', 'velsig', 'nede', 'nora', 'de', 'kommer', 'vel', 'for', 'lyset', 'iaften', 'når', 'juletræet', 'er', 'tændt', 'kan', 'jeg', 'tro']"
nora ,"['har', 'du', 'husket', 'på', 'at', 'bede', 'doktor', 'rank']"
helmer ,"['nej', 'men', 'det', 'behøves', 'jo', 'ikke', 'det', 'følger', 'jo', 'af', 'sig', 'selv', 'at', 'han', 'spiser', 'med', 'os', 'forresten', 'skal', 'jeg', 'bede', 'ham', 'når', 'han', 'kommer', 'her', 'iformiddag', 'god', 'vin', 'har', 'jeg', 'bestilt', 'nora', 'du', 'kan', 'ikke', 'tro', 'hvor', 'jeg', 'glæder', 'mig', 'til', 'iaften']"
nora ,"['jeg', 'også', 'og', 'hvor', 'børnene', 'vil', 'fryde', 'sig', 'torvald']"
helmer ,"['ak', 'det', 'er', 'dog', 'herligt', 'at', 'tænke', 'på', 'at', 'man', 'har', 'fåt', 'en', 'sikker', 'betrygget', 'stilling', 'at', 'man', 'har', 'sit\u200b', 'rundelige', 'udkomme', 'ikke', 'sandt', 'det', 'er', 'en', 'stor', 'nydelse', 'at', 'tænke', 'på']"
nora ,"['å', 'det', 'er', 'vidunderligt']"
helmer ,"['kan', 'du', 'huske', 'forrige', 'jul', 'hele', 'tre', 'uger', 'i', 'forvejen', 'lukked', 'du', 'dig', 'hver', 'aften', 'inde', 'til', 'langt', 'over', 'midnat', 'for', 'at', 'lave', 'blomster', 'til', 'juletræet', 'og', 'alle', 'de', 'andre', 'herligheder', 'som', 'vi', 'skulde', 'over', 'raskes', 'med', 'uh', 'det', 'var', 'den', 'kedeligste', 'tid', 'jeg', 'har', 'oplevet']"
nora ,"['da', 'keded', 'jeg', 'mig', 'slet', 'ikke']"
helmer ,"['men', 'det', 'faldt', 'dog', 'temmelig', 'tarveligt', 'ud', 'nora']"
nora ,"['å', 'skal', 'du', 'nu', 'drille', 'mig', 'med', 'det', 'igen', 'hvad', 'kunde', 'jeg', 'for', 'at', 'katten', 'var', 'kommen', 'ind', 'og', 'havde', 'revet', 'alting', 'istykker']"
